"","ID","abundance","richness","dispersal_sum","dispersal_abiotic","dispersal_a/biotic","dispersal_NA","dispersal_biotic","guild_sum","guild_generalist","guild_pioneer","guild_shadetolerant","guild_NA"
"1","MX_DR_FC1",289,7,7,1,0,0,0,7,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143
"2","MX_DR_FC10",13874,12,12,0.75,0.166666666666667,0.0833333333333333,0,12,0.25,0.5,0.0833333333333333,0.166666666666667
"3","MX_DR_FC11",58,4,4,1,0,0,0,4,0,0.5,0,0.5
"4","MX_DR_FC12",3,1,1,0,0,1,0,1,0,0,0,1
"5","MX_DR_FC13",228,15,15,0.733333333333333,0,0.2,0.0666666666666667,15,0.0666666666666667,0.6,0.0666666666666667,0.266666666666667
"6","MX_DR_FC14",1013,8,8,1,0,0,0,8,0,0.5,0.25,0.25
"7","MX_DR_FC15",17,4,4,0.75,0,0,0.25,4,0.25,0.25,0.25,0.25
"8","MX_DR_FC16",194,9,9,0.888888888888889,0.111111111111111,0,0,9,0.222222222222222,0.555555555555556,0.111111111111111,0.111111111111111
"9","MX_DR_FC17",191,6,6,1,0,0,0,6,0,0.5,0.166666666666667,0.333333333333333
"10","MX_DR_FC18",80,6,6,0.833333333333333,0,0,0.166666666666667,6,0.166666666666667,0.666666666666667,0,0.166666666666667
"11","MX_DR_FC19",115,11,11,0.818181818181818,0.0909090909090909,0.0909090909090909,0,11,0.363636363636364,0.363636363636364,0,0.272727272727273
"12","MX_DR_FC2",133,6,6,0.833333333333333,0.166666666666667,0,0,6,0.333333333333333,0.666666666666667,0,0
"13","MX_DR_FC20",21,4,4,1,0,0,0,4,0.25,0.25,0,0.5
"14","MX_DR_FC21",36,10,10,0.7,0,0.2,0.1,10,0.2,0.3,0.1,0.4
"15","MX_DR_FC3",156,7,7,1,0,0,0,7,0,0.571428571428571,0.285714285714286,0.142857142857143
"16","MX_DR_FC4",441,6,6,0.833333333333333,0.166666666666667,0,0,6,0.166666666666667,0.666666666666667,0,0.166666666666667
"17","MX_DR_FC5",64,7,7,1,0,0,0,7,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143
"18","MX_DR_FC7",153,9,9,0.777777777777778,0.111111111111111,0.111111111111111,0,9,0.222222222222222,0.444444444444444,0.111111111111111,0.222222222222222
"19","MX_DR_FC8",25,5,5,0.8,0.2,0,0,5,0.2,0.6,0,0.2
"20","MX_DR_FC9",74,8,8,0.875,0,0,0.125,8,0.125,0.625,0,0.25
